Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,2.33263902465394
Afghanistan,AFG,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,1.74326912766115
Afghanistan,AFG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,2.94818036425211
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,18.232674068139
Afghanistan,AFG,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,18.0693259388474
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,19.454687306501
Afghanistan,AFG,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,18.512122705048
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1886.69297689805
Albania,ALB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,7.27595248115945
Albania,ALB,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,6.82537877223467
Albania,ALB,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,8.19457475519249
Albania,ALB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,16.8570442154037
Albania,ALB,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,16.6607217340557
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,25.8190571426811
Albania,ALB,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,4.10938032966621
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11662.0304810353
Algeria,DZA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,19.7399889422878
Algeria,DZA,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,28.5237544856065
Algeria,DZA,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,37.4286466498331
Algeria,DZA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,36.4328978063088
Algeria,DZA,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,37.4255863192515
Algeria,DZA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,50.780847982959
Algeria,DZA,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14711.2208543312
American Samoa,ASM,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..
American Samoa,ASM,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..
American Samoa,ASM,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,..
American Samoa,ASM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..
American Samoa,ASM,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..
American Samoa,ASM,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
Andorra,AND,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..
Andorra,AND,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..
Andorra,AND,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,..
Andorra,AND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..
Andorra,AND,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..
Andorra,AND,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..
Andorra,AND,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
Angola,AGO,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-11.6080083802957
Angola,AGO,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,-5.4152170887293
Angola,AGO,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,30.8231673297689
Angola,AGO,Gross savings (% of GDP),NY.GNS.ICTR.ZS,25.021326466362
